# epic,raj2000,dej2000,kepmag
248368858,271.666167,-26.961944,15.797
248368859,271.875208,-28.494361,15.768
248368860,271.905542,-27.058583,15.474
248368861,272.038792,-26.795278,16.048
222539630,272.297426,-27.347835,15.784
248368862,272.151125,-27.483528,16.109
248368863,273.317667,-28.153556,15.591
248368864,274.65225,-27.115111,15.805
222715385,271.466249,-27.090256,15.144
248368865,275.232542,-24.429833,15.856
248368866,271.524208,-28.438417,15.834
248368867,271.657,-27.014694,15.763
248368868,272.492667,-27.718222,15.968
248368869,266.971125,-22.729944,16.602
225045562,266.691452,-23.213318,13.686
248368870,271.980042,-26.804667,15.88
248368871,272.583292,-28.00625,15.417
228147439,272.559685,-16.012257,12.366
225945064,276.106985,-21.572245,11.316
248368872,272.102292,-26.371639,14.21
248368873,272.921,-28.055417,15.183
248368874,272.757417,-28.036944,16.042
222229673,274.209512,-27.797977,13.438
221730899,271.512352,-28.561372,14.397
248368875,271.743875,-26.775833,15.91
248368876,271.764542,-27.647361,15.991
223192670,271.95129,-26.370934,15.222
248368877,271.53425,-27.7645,15.137
248368878,266.27175,-23.173139,15.897
248368879,274.800208,-22.674583,16.505
248368880,271.624542,-27.758694,15.374
248368881,272.027083,-28.076,15.377
248368882,271.716458,-27.731028,15.121
248368883,274.273625,-25.719278,15.269
248368884,271.6365,-28.537556,16.338
248368885,271.630958,-28.499917,16.359
248368886,273.210833,-27.977056,15.773
248368887,271.596833,-27.199361,15.592
248368888,271.428833,-28.502361,15.69
223341215,272.032915,-26.132644,12.525
222691358,271.635025,-27.125419,14.868
248368889,271.385083,-27.826417,15.542
248368890,273.107708,-28.006,15.138
248368891,273.438875,-25.918639,16.423
248368892,271.43675,-28.094417,15.542
223999125,271.868212,-25.031376,14.341
222541171,272.516697,-27.345472,14.221
248368893,271.823625,-28.524222,15.73
223832351,271.937182,-25.313362,16.04
223051735,271.284699,-26.588769,13.446
248368894,274.859375,-26.979,15.843
248368895,274.658833,-26.075722,15.679
248368896,274.474542,-23.365194,16.664
224366356,275.447105,-24.373911,14.57
